ID	Price
13768	750,000₫ /đêm
12919	1,880,000₫ /đêm
11772	750,000₫ /đêm
3782	1,169,806₫
3667	682,000₫
6706	1,500,000₫
4999	810,000₫
9128	1,250,000₫ /đêm
12516	550,000₫ /đêm
5625	620,000₫
9811	1,350,000₫ /đêm
8174	280,000₫ /đêm
1414	2,300,000₫
10154	790,000₫ /đêm
7062	950,000₫
2513	1,350,000₫
6158	1,450,000₫
8364	420,000₫ /đêm
11283	1,299,000₫ /đêm
13091	550,000₫ /đêm
1067	1,150,000₫
11755	4,620,000₫ /đêm
7527	530,000₫ /đêm
9793	2,000,000₫ /đêm
14319	1,200,000₫ /đêm
6988	3,600,000₫
13665	800,000₫ /đêm
10403	1,200,000₫ /đêm
9603	750,000₫ /đêm
1275	1,100,000₫
11032	594,650₫ /đêm
2249	1,671,151₫
8575	1,400,000₫ /đêm
7875	340,000₫ /đêm
9016	1,400,000₫ /đêm
3639	1,150,000₫ /đêm
11176	2,240,700₫ /đêm
8936	2,900,000₫ /đêm
7059	950,000₫
12250	485,000₫ /đêm
14239	1,500,000₫ /đêm
6443	1,750,000₫
190	1,200,000₫ /đêm
11117	1,100,000₫ /đêm
11732	2,664,033₫ /đêm
4136	450,000₫
13116	750,000₫ /đêm
1402	1,386,000₫
4191	520,000₫
12462	700,000₫ /đêm
9909	808,500₫ /đêm
11019	750,000₫ /đêm
9843	1,500,000₫ /đêm
10536	713,580₫ /đêm
42	2,100,000₫
5988	1,200,000₫ /đêm
11049	1,200,000₫ /đêm
5165	650,000₫
11021	3,330,042₫ /đêm
2334	370,000₫
7860	210,000₫ /đêm
487	700,000₫
8066	549,000₫ /đêm
10554	760,000₫ /đêm
2600	475,720₫ /đêm
12495	550,000₫ /đêm
12532	915,000₫ /đêm
3673	790,000₫
8135	594,650₫ /đêm
5961	1,000,000₫
8488	300,000₫ /đêm
7050	950,000₫
11532	784,938₫ /đêm
13656	500,000₫ /đêm
8951	700,000₫ /đêm
4231	620,000₫
11827	415,000₫ /đêm
11995	429,000₫ /đêm
8950	1,350,000₫ /đêm
9173	1,150,000₫ /đêm
4993	950,000₫
2472	1,072,800₫
10596	1,800,000₫ /đêm
7989	355,000₫ /đêm
4254	550,000₫
14455	400,000₫ /đêm
14120	550,000₫ /đêm
338	1,300,000₫ /đêm
7219	1,000,000₫
11285	2,116,955₫ /đêm
4860	453,598₫
3099	650,000₫
2786	660,000₫
11319	1,499,000₫ /đêm
9406	1,400,000₫ /đêm
2052	1,169,806₫
6825	16,000,000₫
7955	700,000₫ /đêm
6553	1,016,400₫
11198	1,550,000₫ /đêm
2943	670,000₫
3710	1,650,000₫
4782	630,000₫
13923	600,000₫ /đêm
12573	2,497,531₫ /đêm
3260	450,000₫ /đêm
3598	600,000₫
14021	700,000₫ /đêm
12547	618,436₫ /đêm
8236	557,000₫ /đêm
5741	1,100,000₫ /đêm
4908	750,000₫
14632	999,000₫ /đêm
12189	1,500,000₫ /đêm
12999	1,760,000₫ /đêm
7634	1,000,000₫ /đêm
6843	4,000,000₫
3020	450,000₫
2421	808,500₫
8738	8,500,000₫ /đêm
6201	1,000,000₫
10188	350,000₫ /đêm
12988	1,902,881₫ /đêm
14464	395,000₫ /đêm
2168	800,000₫
7663	1,000,000₫ /đêm
5303	450,000₫
5570	5,000,000₫
1573	730,000₫
5396	1,400,000₫
1593	7,500,000₫
8761	5,000,000₫ /đêm
2379	1,428,750₫
8026	700,000₫ /đêm
6582	1,450,000₫
6798	3,000,000₫
9794	927,654₫ /đêm
14199	2,200,000₫ /đêm
5921	1,200,000₫
13977	1,500,000₫ /đêm
6427	335,000₫
13771	450,000₫ /đêm
9197	950,000₫ /đêm
5095	1,814,393₫
1466	1,350,000₫
5189	1,566,000₫
8190	600,000₫ /đêm
6278	570,000₫
369	340,000₫
1376	2,500,000₫
5970	1,200,000₫
5766	2,200,000₫
12137	805,000₫ /đêm
2270	850,000₫
12978	1,355,803₫ /đêm
5111	598,000₫
2070	900,000₫
7080	3,200,000₫
1516	1,000,000₫
6139	600,000₫
4066	2,772,000₫
13500	1,090,000₫ /đêm
2828	740,081₫
13349	2,300,000₫ /đêm
3759	1,500,000₫
3311	1,190,000₫
6940	450,000₫ /đêm
14705	1,000,000₫ /đêm
4700	3,840,000₫
3899	2,500,000₫ /đêm
1242	1,950,000₫ /đêm
7815	3,200,000₫ /đêm
4960	2,200,000₫ /đêm
14539	2,500,000₫ /đêm
11958	900,000₫ /đêm
11517	1,500,000₫ /đêm
4293	550,000₫
14503	2,500,000₫ /đêm
7598	800,000₫ /đêm
2697	400,000₫
13305	285,432₫ /đêm
7419	1,400,000₫
5963	1,000,000₫
6533	800,000₫
4659	1,650,000₫
5428	1,909,887₫
11478	1,500,000₫ /đêm
989	3,461,670₫
5656	890,000₫
2954	650,000₫
6935	2,900,000₫
6715	1,600,000₫
6925	3,000,000₫
1556	1,300,000₫
9848	1,855,309₫ /đêm
1665	1,200,000₫
2157	540,000₫ /đêm
2464	501,345₫
10577	600,000₫ /đêm
12881	1,300,000₫ /đêm
10531	3,500,000₫ /đêm
8522	400,000₫ /đêm
10323	951,440₫ /đêm
1811	1,100,000₫
3266	1,450,000₫
13552	200,000₫ /đêm
