Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Vinhomes Central Park (Vinhomes Tân Cảng)	★ Vinhomes 1PN sang trọng, 3' to Vincom ★	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,259,000₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	2	
Căn hộ Studio	Tripolo Cozy Suite Apartment | Full Kitchen & Balcony|| - HO 2019	2 khách · 1 Phòng ngủ · 1 phòng tắm	552,000₫/đêm 690,000₫	Phú Nhuận, Hồ Chí Minh, Vietnam	2	
Căn hộ dịch vụ	99 Bui Vien ( Boutique )	4 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm 1,050,000₫	Quận 1, Hồ Chí Minh, Vietnam	6	
Nhà riêng	F5 Sweet House - Room 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	392,700₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	7	
Căn hộ chung cư · Căn hộ The Manor	THE MANOR 2 APARTMENT , 20%OFF, AN CORNER, FREE ROOFTOP POOL	3 khách · 1 Phòng ngủ · 1 phòng tắm	714,972₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	5	
Căn hộ Studio	Warm Studio In Saigon Centre 103	2 khách · 1 Phòng ngủ · 1 phòng tắm	370,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	3	
Căn hộ dịch vụ · Vinhomes Golden River Ba Son	BUSINESS CITY - Vinhomes Golden River. River View. Aqua 1 - 25.12.A	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,421,100₫/đêm 1,579,000₫	Quận 1, Hồ Chí Minh, Vietnam	2	
Căn hộ Studio · Căn hộ River Gate	SOLEIL SAIGON ♥ Căn Hộ Studio Phong Cách Scandinavian	3 khách · 1 Phòng ngủ · 1 phòng tắm	975,000₫/đêm	Quận 4, Hồ Chí Minh, Vietnam	5	
Căn hộ dịch vụ	Airhomes (Fireworks Studio-King Bed )	2 khách · 1 Phòng ngủ · 1 phòng tắm	571,978₫/đêm	Tân Bình, Hồ Chí Minh, Vietnam	4	
Căn hộ chung cư · Vinhomes Landmark 81	THE LANDMARK 81 BUILDING, 1 BEDROOM, LOVELY STAY IN SAI GON !	4 khách · 1 Phòng ngủ · 1 phòng tắm	2,001,922₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	15	
Nhà riêng	204 - Supper lovely room have a window	2 khách · 1 Phòng ngủ · 1 phòng tắm	369,000₫/đêm	Quận 3, Hồ Chí Minh, Vietnam	2	
Căn hộ dịch vụ · Căn hộ River Gate	Rose Luxury Apartment in Rivergate Residence free Pool & Gym	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Quận 4, Hồ Chí Minh, Vietnam	4	
Căn hộ chung cư · Icon 56	Lily's Serviced Apartments - Icon 56 Căn hộ 3PN, view sông, MIỄN PHÍ hồ bơi tràn bờ	9 khách · 3 Phòng ngủ · 2 phòng tắm	2,400,000₫/đêm	Quận 4, Hồ Chí Minh, Vietnam	10	
Căn hộ dịch vụ	Sky Walker ✯ Chilla Signature Cozy Art Suite ✯ D1	2 khách · 1 Phòng ngủ · 1 phòng tắm	620,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	1	
Căn hộ Studio	Homestay - Ly Chinh Thang - District 3 - @HCMC	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Quận 3, Hồ Chí Minh, Vietnam	2	
Căn hộ Studio	Tripporo - Phòng Ruby Có Ban Công Cực Đẹp	3 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Phú Nhuận, Hồ Chí Minh, Vietnam	3	
Nhà riêng	TUIs Home #101- Dormitory 4 beds	4 khách · 1 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	2	
Khác · Vinhomes Central Park (Vinhomes Tân Cảng)	Home Sweet Home High Floor 1Br Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	947,100₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	4	
Căn hộ chung cư	LOVELY HOUSE Hà Đô centrosa Q.10	4 khách · 2 Phòng ngủ · 1 phòng tắm	790,000₫/đêm	Quận 10, Hồ Chí Minh, Vietnam	1	
Nhà riêng	Group room suitable for vacation at an House	3 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Quận 3, Hồ Chí Minh, Vietnam	10	
Căn hộ Studio	Lovely Studio 1 Mins To Ben Thanh Market 104	2 khách · 1 Phòng ngủ · 1 phòng tắm	370,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	3	
Căn hộ chung cư · Sunrise Cityview	*CH Siêu Lãng Mạn* Couple Nest - Seduce - Luxurious Brandnew 76m2 - Super Romantic - Oyster Soup & Breakfast Included	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,350,000₫/đêm 1,800,000₫	Quận 7, Hồ Chí Minh, Vietnam	5	
Căn hộ dịch vụ · Vinhomes Landmark 81	THE LANDMARK 81 BUILDING, LUXURY STAY IN SAI GON, 5 STAR SUPERIOR APARTMENT !	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,906,592₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	21	
Nhà riêng	Huge Cozy Room With Balcony @TheDowntownHomestay	4 khách · 1 Phòng ngủ · 1 phòng tắm	667,307₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	12	
Căn hộ chung cư · The Tresor	Cozy Home - The Heart of Saigon - Free Pool&Gym	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,155,000₫/đêm	Quận 4, Hồ Chí Minh, Vietnam	14	
Căn hộ chung cư	Ngôi nhà ở Trái tim Sài Gòn - Quận 1	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	10	
Nhà riêng	Hazel's House - The Tangling Clay	2 khách · 1 Phòng ngủ · 1 phòng tắm	510,000₫/đêm 600,000₫	Quận 1, Hồ Chí Minh, Vietnam	1	
Khác	Song Ngoc S House #1	2 khách · 1 Phòng ngủ · 1 phòng tắm	357,486₫/đêm	Tân Bình, Hồ Chí Minh, Vietnam	1	
Căn hộ Studio	❤️Hello Saigon Homestay ❤️ Sunny and Clean room + Rooftop garden + Tea meditation⭐ sunny 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Quận 3, Hồ Chí Minh, Vietnam	1	
Căn hộ Studio · Căn hộ River Gate	F5 saigon - Big Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	995,000₫/đêm	Quận 4, Hồ Chí Minh, Vietnam	10	
Căn hộ dịch vụ · Vinhomes Golden River Ba Son	URBAN HOUSE SAIGON ❤️ FREE CITY TOUR ❤️ CĂN HỘ CAO CẤP ❤️ TOÀN CẢNH BITEXCO - SÔNG SÀI GÒN	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,650,000₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	3	
Căn hộ chung cư	RedDoorz Apartment || Full Kitchen || Balcony || - HO 1876	2 khách · 1 Phòng ngủ · 1 phòng tắm	384,000₫/đêm 480,000₫	Phú Nhuận, Hồ Chí Minh, Vietnam	1	
Căn hộ dịch vụ	Linkly Home- Dành riêng tầng cao nhất cho nhóm 6 khách	6 khách · 3 Phòng ngủ · 3 phòng tắm	1,839,200₫/đêm 2,090,000₫	Quận 1, Hồ Chí Minh, Vietnam	2	
Căn hộ chung cư · Vinhomes Golden River Ba Son	Zahoo House - 5* Apartment - RiverView - Free Pool and Gym	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,549,106₫/đêm	Quận 1, Hồ Chí Minh, Vietnam	2	
Căn hộ chung cư · Vinhomes Central Park (Vinhomes Tân Cảng)	Cho Thuê Căn Hộ Dịch Vụ Vinhomes Central Park- Căn hộ 2 Phòng Ngủ	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Bình Thạnh, Hồ Chí Minh, Vietnam	2	
