Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	House of Bu (Nhà của Bu)	12 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	8	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	Mộc Homestay Nha Trang - Street View	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	23	
Căn hộ chung cư	102 Standard twin · New studio with kitchen 4-mins to the beach	2 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	Homes Vu STANDARD ROOM 302	2 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	Pearl Two Bedroom Suite	4 khách · 2 Phòng ngủ · 2 phòng tắm	524,313₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Uplaza Homestay - 3 bedrooms - Sea View	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Nhà riêng	E38 Gabi Full Home Great Family	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Rooftop sea view apartment	4 khách · 2 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
