Link	Tên	Loại nhà	Diện tích	Các loại phòng	Giá	Vị trí	Tiện ích
https://www.luxstay.com/vi/rooms/11679	A Halong Corner	Căn hộ chung cư		Nguyên căn · 1 phòng tắm · 2 giường · 2 phòng ngủ · 5 khách (tối đa 5 khách)	1,155,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	
https://www.luxstay.com/vi/rooms/36423	HaLong Greenbay C01	Biệt Thự	109 m2	Phòng riêng · 4 phòng tắm · 4 giường · 4 phòng ngủ · 12 khách (tối đa 12 khách)	2,000,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	
https://www.luxstay.com/vi/rooms/34788	Rooster Homestay Hạ Long | 3 phòng ngủ VIEW BIỂN	Căn hộ chung cư	100 m2	Nguyên căn · 2 phòng tắm · 4 giường · 3 phòng ngủ · 8 khách (tối đa 12 khách)	1,600,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Tiện ích bếp,Bếp điện,Tủ lạnh,Tiện ích giải trí,Cảnh quan đẹp,Hướng biển,Bể Bơi,Tiện ích phòng,Ban Công,Cửa sổ,Nhà bếp,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Thang máy,Máy sấy,Internet,Tiện ích nổi bật,Smart tivi
https://www.luxstay.com/vi/rooms/19770	Villa Hoa giấy đảo Quan Lạn - Con tàu cảm xúc	Nhà riêng	200 m2	Nguyên căn · 9 phòng tắm · 8 giường · 7 phòng ngủ · 15 khách (tối đa 25 khách)	3,500,000₫ /đêm	Vân Đồn, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Tiện ích bếp,Bếp điện,Lò vi sóng,Tủ lạnh,Bếp Ga,Tiện ích giải trí,Cho thú cưng,BBQ,Cảnh quan đẹp,Hướng biển,Câu cá,Tiện ích phòng,Ban Công,Tiện ích,Wifi,Điều hoà,Giấy vệ sinh,Giấy ăn,Nước khoáng,Máy sấy,Tiện ích nổi bật,Máy chiếu phim,Tủ đựng rượu
https://www.luxstay.com/vi/rooms/16694	Coto Eco Lodge	Khác	14 m2	Phòng riêng · 1 phòng tắm · 1 giường · 1 phòng ngủ · 2 khách (tối đa 2 khách)	1,200,000₫ /đêm	Cô Tô, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Không hút thuốc,Tiện ích bếp,Tủ lạnh,Tiện ích giải trí,Cho thú cưng,BBQ,Cảnh quan đẹp,Câu cá,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Dầu gội, dầu xả,Giấy vệ sinh,Khăn tắm,Kem đánh răng,Xà phòng tắm,Máy sấy
https://www.luxstay.com/vi/rooms/27167	Manarola Homestay Hạ Long	Căn hộ chung cư	65 m2	Nguyên căn · 2 phòng tắm · 3 giường · 2 phòng ngủ · 2 khách (tối đa 6 khách)	789,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Tiện ích bếp,Tủ lạnh,Tiện ích giải trí,Bể Bơi,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Giấy vệ sinh,Khăn tắm,Thang máy
https://www.luxstay.com/vi/rooms/28880	Hi-Home#9✩2BR Apartment✩BEST BAY VIEW @HALONG BAY	Căn hộ chung cư	76 m2	Nguyên căn · 2 phòng tắm · 2 giường · 2 phòng ngủ · 1 khách (tối đa 4 khách)	1,500,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Tiện ích bếp,Bếp điện,Lò vi sóng,Tủ lạnh,Tiện ích giải trí,Cho thú cưng,BBQ,Cảnh quan đẹp,Hướng biển,Gần sân golf,Bể Bơi,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Thang máy,Máy sấy,Tiện ích nổi bật,Smart tivi
https://www.luxstay.com/vi/rooms/36559	Luxurious Apartment Sapphire Ha Long - 1 Bedroom	Căn hộ chung cư	60 m2	Nguyên căn · 1 phòng tắm · 1 giường · 1 phòng ngủ · 2 khách (tối đa 4 khách)	1,100,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Tiện ích bếp,Bếp điện,Lò vi sóng,Tủ lạnh,Tiện ích giải trí,Cảnh quan đẹp,Hướng biển,Bể Bơi,Tiện ích phòng,Ban Công,Cửa sổ,Nhà bếp,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Thang máy,Máy sấy,Internet,Tiện ích nổi bật,Smart tivi
https://www.luxstay.com/vi/rooms/15169	chuột homestay căn 2 Phòng ngủ No.2	Căn hộ chung cư	74 m2	Nguyên căn · 2 phòng tắm · 3 giường · 2 phòng ngủ · 5 khách (tối đa 5 khách)	850,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Tiện ích bếp,Bếp điện,Tủ lạnh,Tiện ích giải trí,Cảnh quan đẹp,Hướng biển,Câu cá,Bể Bơi,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Tiện ích nổi bật,Smart tivi
https://www.luxstay.com/vi/rooms/33984	Ha Long Beach Hotel Superior Twin Room with Bay View in Ha Long Center	Căn hộ dịch vụ	50 m2	Phòng riêng · 1 phòng tắm · 2 giường · 1 phòng ngủ · 4 khách (tối đa 4 khách)	800,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Không hút thuốc,Tiện ích bếp,Bếp điện,Lò vi sóng,Tủ lạnh,Tiện ích giải trí,BBQ,Cảnh quan đẹp,Hướng biển,Gần sân golf,Câu cá,Tiện ích phòng,Ban Công,Cửa sổ,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Thang máy,Máy sấy,Internet,Tiện ích nổi bật,Smart tivi
https://www.luxstay.com/vi/rooms/12442	Ivy House- Urban Homestay Halong	Căn hộ chung cư	70 m2	Phòng riêng · 2 phòng tắm · 2 giường · 2 phòng ngủ · 4 khách (tối đa 8 khách)	800,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Không hút thuốc,Tiện ích bếp,Bếp điện,Tủ lạnh,Tiện ích giải trí,Hướng biển,Bể Bơi,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Khăn tắm,Kem đánh răng,Xà phòng tắm,Thang máy
https://www.luxstay.com/vi/rooms/15795	Oceans in sight - Homestay Ha Long	Căn hộ chung cư	72 m2	Nguyên căn · 2 phòng tắm · 2 giường · 2 phòng ngủ · 4 khách (tối đa 7 khách)	1,000,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Đệm bổ sung,Tiện ích bếp,Bếp điện,Tủ lạnh,Tiện ích giải trí,Cho thú cưng,BBQ,Cảnh quan đẹp,Hướng biển,Gần sân golf,Câu cá,Bể Bơi,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Dầu gội, dầu xả,Giấy vệ sinh,Giấy ăn,Nước khoáng,Khăn tắm,Kem đánh răng,Xà phòng tắm,Tiện ích nổi bật,Smart tivi,Tủ đựng rượu
https://www.luxstay.com/vi/rooms/26308	Homestay BÃI CHÁY	Căn hộ chung cư	70 m2	Nguyên căn · 2 phòng tắm · 2 giường · 2 phòng ngủ · 4 khách (tối đa 6 khách)	670,000₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	Tiện ích gia đình,Phù hợp với trẻ nhỏ,Không hút thuốc,Tiện ích bếp,Lò vi sóng,Tủ lạnh,Bếp Ga,Tiện ích phòng,Ban Công,Tiện ích,Wifi,TV,Điều hoà,Máy giặt,Khăn tắm,Thang máy
https://www.luxstay.com/vi/rooms/20900	Chung cư New Life	Căn hộ chung cư	80 m2	Nguyên căn · 2 phòng tắm · 2 giường · 2 phòng ngủ · 4 khách (tối đa 5 khách)	1,070,371₫ /đêm	Hạ Long, Quảng Ninh, Vietnam	
