Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	horse room⭐phố cổ⭐5 phút đi bộ ra hồ Hoàn Kiếm⭐Netflix	3 khách · 1 Phòng ngủ · 1 phòng tắm	320,000₫/đêm 400,000₫	Hoàn Kiếm, Hà Nội, Vietnam	6	
Nhà riêng	Hommestay-527 Bach Đang.Hoan Kiem	3 khách · 1 Phòng ngủ · 1 phòng tắm	280,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	4	
Căn hộ chung cư	Noble Apartment_ Studio 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	467,500₫/đêm 550,000₫	Cầu Giấy, Hà Nội, Vietnam	8	
Khác	Ceeland - Lala Home	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	13	
Căn hộ Studio	TOM ROOM	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ chung cư · Nam Trung Yên	San's Home [Sharing home]	2 khách · 1 Phòng ngủ · 1 phòng tắm	290,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	4	
Nhà riêng	Hommestay-Bach Đang.Hoan Kiem	3 khách · 1 Phòng ngủ · 1 phòng tắm	285,989₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Nhà riêng	KRYSTAL's MINI HOMESTAY [3rd Private Room]	3 khách · 1 Phòng ngủ · 1 phòng tắm	369,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	12	
Căn hộ chung cư · Vinhomes Times City	♥️[BAYHOMES] TIMES CITY /HA NOI CENTER/1BR APT	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	7	
Nhà riêng	Little Prince Home - Trái Đất (Nhà của Hoàng tử bé 2)	4 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm 600,000₫	Tây Hồ, Hà Nội, Vietnam	11	
Nhà riêng	Đông Viên Village	2 khách · 1 Phòng ngủ · 1 phòng tắm	357,486₫/đêm	Ba Đình, Hà Nội, Vietnam	2	
Căn hộ Studio	JERRY ROOM	2 khách · 1 Phòng ngủ · 1 phòng tắm	465,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	3	
Căn hộ chung cư · Vinhomes SkyLake	SweetHost's 1BR SkyLake 31F CITY VIEW	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	11	
Căn hộ chung cư	Aloha Hanoi Homestay 24	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,155,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	11	
