Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Chung cư Lideco Hạ Long	BLOSSOM HALONGBAY	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	Annie Luxury Art House in Ha Long	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Lavista Sapphire Homestay Hạ Long hiện đại view biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư	Nhà Cành Homestay - Căn hộ tiện nghi 2PN	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Halong Lava Apartment	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,362,900₫/đêm	Hạ Long, Quảng Ninh, Vietnam	10	
Căn hộ chung cư · Chung cư Lideco Hạ Long	Apartment with good security in Hạ Long's downtown	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Green Bay Premium Hạ Long	VICstay Halong - Stay Harmonious	8 khách · 2 Phòng ngủ · 2 phòng tắm	699,999₫/đêm	Hạ Long, Quảng Ninh, Vietnam	17	
Căn hộ chung cư	Căn hộ Luxury 2BR View Vịnh Hạ Long, có bể bơi - DTJ Hometel Apt 812	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Biệt Thự	Newstar Ha Long - Vinhomes Dragon Bay Ha Long	17 khách · 4 Phòng ngủ · 5 phòng tắm	6,046,392₫/đêm	Hạ Long, Quảng Ninh, Vietnam	9	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Minh Phuc Homestay Hạ Long Penhouse 2701A Newlife -4 bedroom Apartment	10 khách · 3 Phòng ngủ · 3 phòng tắm	3,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Biệt Thự	Full House The Villa Ha Long	25 khách · 5 Phòng ngủ · 6 phòng tắm	6,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư	The Sapphire 26F	6 khách · 3 Phòng ngủ · 2 phòng tắm	2,800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Village de Soleil	6 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	13	
Căn hộ chung cư · Tổ hợp chung cư Sunrise	Hometel Ha Long Bay, khu Bãi Cháy, Thành phố Hạ Long, trong quần thể đầy đủ dịch vụ	8 khách · 2 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	5	
Căn hộ dịch vụ	Royal Blue* Extraordinary Bay View* Close Harbour	8 khách · 2 Phòng ngủ · 2 phòng tắm	485,100₫/đêm 539,000₫	Hạ Long, Quảng Ninh, Vietnam	12	
Căn hộ chung cư · Green Bay Premium Hạ Long	Ha Long Corner 2	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,362,900₫/đêm	Hạ Long, Quảng Ninh, Vietnam	10	
Căn hộ dịch vụ	Căn hộ Luxury 3BR tầm nhìn ra vịnh Hạ Long 1-0-2 - DTJ Hometel Apt 1016	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	3	
Căn hộ chung cư · Green Bay Premium Hạ Long	Apartment Premier Ha Long	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Khác	Luxstay Hotel @ Superior Twin Room with City View in Ha Long Center	2 khách · 1 Phòng ngủ · 1 phòng tắm	720,000₫/đêm 800,000₫	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Beverly 2 - Sea View - Halong Bay	4 khách · 2 Phòng ngủ · 2 phòng tắm	549,999₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	La Mer Halong	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,080,000₫/đêm 1,200,000₫	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	La Lumiere Homestay	6 khách · 2 Phòng ngủ · 2 phòng tắm	770,000₫/đêm 1,100,000₫	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Green Bay Premium Hạ Long	Căn hộ Luxury 2BR View Vịnh Hạ Long, có bể bơi - DTJ Hometel Apt 2013 (812)	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,320,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Căn hộ Luxury 3BR view núi/view vịnh Hạ Long tuyệt đẹp - DTJ Hometel Apt 1015	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,750,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Saphire Hạ Long - Dragon Homestay	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Pi house Hạ Long	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	10	
Căn hộ chung cư · Green Bay Premium Hạ Long	LiLo House - The Luxury Bay View Homestay Ha Long	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	7	
Biệt Thự	VILLA HARADISE SUITE HẠ LONG - Nguyên Căn	10 khách · 5 Phòng ngủ · 5 phòng tắm	5,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư Green Bay Garden	CĂN HỘ 2719 GREEN BAY GARDEN HẠ LONG - GIA BẢO HOMESTAY	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,080,000₫/đêm 1,350,000₫	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	2Brs with sea view and convenience	6 khách · 2 Phòng ngủ · 2 phòng tắm	924,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Nhà riêng · Vinhomes Dragon Bay	Friends	6 khách · 1 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Apartment Newlife Bãi Cháy Hạ Long	12 khách · 3 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư New Life Tower Hạ Long	Second House Ha Long	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	2	
Căn hộ chung cư · Green Bay Premium Hạ Long	Nhà của Gió - Homestay Hạ Long	10 khách · 3 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư	Full House The Apartment Ha Long	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Green Bay Premium Hạ Long	HaLong Dragon Homestay 1913	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	1	
Căn hộ chung cư · Chung cư Green Bay Garden	CĂN HỘ 2504 GREEN BAY GARDEN HẠ LONG - GIA BẢO HOMESTAY	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,080,000₫/đêm 1,350,000₫	Hạ Long, Quảng Ninh, Vietnam	
Biệt Thự · Vinhomes Dragon Bay	Bin Villas 5Br - Harbor house view	20 khách · 5 Phòng ngủ · 4 phòng tắm	4,500,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	
Căn hộ chung cư	1504	6 khách · 2 Phòng ngủ · 2 phòng tắm	580,000₫/đêm	Hạ Long, Quảng Ninh, Vietnam	10	
